constituency,ldf_score,udf_score,nda_score,others_score,recent_swing_score,analysis_predicted
Manjeshwaram,0.35942,0.4347,0.19288,0.013,0.4347,UDF
Kasaragod,0.35942,0.4347,0.19288,0.013,0.4347,UDF
Udma,0.4347,0.35942,0.19288,0.013,0.43470,LDF
Kanhangad,0.4347,0.35942,0.19288,0.013,0.43470,LDF
Thrikkaripur,0.4347,0.35942,0.19288,0.013,0.43470,LDF
Payyannur,0.45518,0.4255,0.10289,0.01643,0.45518,LDF
Kalliasseri,0.45518,0.4255,0.10289,0.01643,0.45518,LDF
Thalassery,0.45518,0.4255,0.10289,0.01643,0.45518,LDF
Dharmadom,0.45518,0.4255,0.10289,0.01643,0.45518,LDF
Thaliparamba,0.45518,0.4255,0.10289,0.01643,0.45518,LDF
Irikkur,0.4255,0.45518,0.10289,0.01643,0.45518,UDF
Azhikode,0.45518,0.4255,0.10289,0.01643,0.45518,LDF
Kannur,0.46155,0.43215,0.09386,0.01244,0.46155,LDF
Kuthuparamba,0.46155,0.43215,0.09386,0.01244,0.46155,LDF
Mattannur,0.46155,0.43215,0.09386,0.01244,0.46155,LDF
Peravoor,0.43215,0.46155,0.09386,0.01244,0.46155,UDF
Mananthavady,0.56183,0.30263,0.12128,0.01426,0.56183,LDF
Sulthan Bathery,0.30263,0.56183,0.12128,0.01426,0.56183,UDF
Kalpetta,0.30263,0.56183,0.12128,0.01426,0.56183,UDF
Vatakara,0.46755,0.42015,0.09986,0.01244,0.46755,LDF
Kuttiady,0.46755,0.42015,0.09986,0.01244,0.46755,LDF
Nadapuram,0.46755,0.42015,0.09986,0.01244,0.46755,LDF
Koyilandy,0.45418,0.38431,0.14592,0.01559,0.45418,LDF
Perambra,0.45418,0.38431,0.14592,0.01559,0.45418,LDF
Balusseri,0.45418,0.38431,0.14592,0.01559,0.45418,LDF
Elathur,0.45418,0.38431,0.14592,0.01559,0.45418,LDF
Kozhikode North,0.45418,0.38431,0.14592,0.01559,0.45418,LDF
Kozhikode South,0.45418,0.38431,0.14592,0.01559,0.45418,LDF
Beypore,0.45418,0.38431,0.14592,0.01559,0.45418,LDF
Kunnamangalam,0.50367,0.36688,0.11505,0.0144,0.50367,LDF
Koduvally,0.38431,0.45418,0.14592,0.01559,0.45418,UDF
Thiruvambadi,0.53783,0.32663,0.12128,0.01426,0.53783,LDF
Kondotty,0.30583,0.61045,0.06995,0.01377,0.61045,UDF
Eranad,0.26663,0.61283,0.10628,0.01426,0.61283,UDF
Nilambur,0.61283,0.26663,0.10628,0.01426,0.61283,LDF
Wandoor,0.26663,0.61283,0.10628,0.01426,0.61283,UDF
Manjeri,0.30583,0.61045,0.06995,0.01377,0.61045,UDF
Perinthalmanna,0.30583,0.61045,0.06995,0.01377,0.61045,UDF
Mankada,0.30583,0.61045,0.06995,0.01377,0.61045,UDF
Malappuram,0.30583,0.61045,0.06995,0.01377,0.61045,UDF
Vengara,0.30583,0.61045,0.06995,0.01377,0.61045,UDF
Vallikunnu,0.30583,0.61045,0.06995,0.01377,0.61045,UDF
Tirurangadi,0.30688,0.57867,0.10005,0.0144,0.57867,UDF
Tanur,0.57867,0.30688,0.10005,0.0144,0.57867,LDF
Tirur,0.30688,0.57867,0.10005,0.0144,0.57867,UDF
Kottakkal,0.30688,0.57867,0.10005,0.0144,0.57867,UDF
Thavanur,0.57867,0.30688,0.10005,0.0144,0.57867,LDF
Ponnani,0.57867,0.30688,0.10005,0.0144,0.57867,LDF
Thrithala,0.39262,0.35973,0.23017,0.01748,0.39262,LDF
Pattambi,0.39262,0.35973,0.23017,0.01748,0.39262,LDF
Shornur,0.39262,0.35973,0.23017,0.01748,0.39262,LDF
Ottappalam,0.39262,0.35973,0.23017,0.01748,0.39262,LDF
Kongad,0.39262,0.35973,0.23017,0.01748,0.39262,LDF
Mannarkkad,0.35973,0.39262,0.23017,0.01748,0.39262,UDF
Malampuzha,0.39262,0.35973,0.23017,0.01748,0.39262,LDF
Palakkad,0.37841,0.41062,0.19279,0.01818,0.41062,UDF
Tarur,0.41062,0.37841,0.19279,0.01818,0.41062,LDF
Chittur,0.41062,0.37841,0.19279,0.01818,0.41062,LDF
Nenmara,0.41062,0.37841,0.19279,0.01818,0.41062,LDF
Alathur,0.41062,0.37841,0.19279,0.01818,0.41062,LDF
Chelakkara,0.41962,0.36641,0.19579,0.01818,0.41962,LDF
Kunnamkulam,0.41962,0.36641,0.19579,0.01818,0.41962,LDF
Guruvayoor,0.35165,0.30845,0.3276,0.0123,0.35165,LDF
Manalur,0.35165,0.30845,0.3276,0.0123,0.35165,LDF
Wadakkanchery,0.35165,0.30845,0.3276,0.0123,0.35165,LDF
Ollur,0.35165,0.30845,0.3276,0.0123,0.35165,LDF
Thrissur,0.35165,0.30845,0.3276,0.0123,0.35165,LDF
Nattika,0.35165,0.30845,0.3276,0.0123,0.35165,LDF
Kaipamangalam,0.35165,0.30845,0.3276,0.0123,0.35165,LDF
Irinjalakuda,0.38608,0.37811,0.14175,0.09406,0.38608,LDF
Puthukkad,0.38608,0.37811,0.14175,0.09406,0.38608,LDF
Chalakudy,0.37811,0.38608,0.14175,0.09406,0.38608,UDF
Kodungallur,0.38608,0.37811,0.14175,0.09406,0.38608,LDF
Perumbavoor,0.34811,0.44008,0.11775,0.09406,0.44008,UDF
Angamaly,0.34811,0.44008,0.11775,0.09406,0.44008,UDF
Aluva,0.34811,0.44008,0.11775,0.09406,0.44008,UDF
Kalamassery,0.52079,0.28329,0.15065,0.04527,0.52079,LDF
Paravur,0.28329,0.52079,0.15065,0.04527,0.52079,UDF
Vypin,0.52079,0.28329,0.15065,0.04527,0.52079,LDF
Kochi,0.52079,0.28329,0.15065,0.04527,0.52079,LDF
Thripunithura,0.28329,0.52079,0.15065,0.04527,0.52079,UDF
Ernakulam,0.28329,0.52079,0.15065,0.04527,0.52079,UDF
Thrikkakara,0.28329,0.52079,0.15065,0.04527,0.52079,UDF
Kunnathunad,0.51001,0.35371,0.11516,0.02112,0.51001,LDF
Piravom,0.35371,0.51001,0.11516,0.02112,0.51001,UDF
Muvattupuzha,0.35371,0.51001,0.11516,0.02112,0.51001,UDF
Kothamangalam,0.51001,0.35371,0.11516,0.02112,0.51001,LDF
Devikulam,0.51001,0.35371,0.11516,0.02112,0.51001,LDF
Udumbanchola,0.51001,0.35371,0.11516,0.02112,0.51001,LDF
Thodupuzha,0.35371,0.51001,0.11516,0.02112,0.51001,UDF
Idukki,0.4552,0.33719,0.17718,0.03043,0.45520,LDF
Peerumede,0.4552,0.33719,0.17718,0.03043,0.45520,LDF
Pala,0.4792,0.31619,0.17418,0.03043,0.47920,LDF
Kaduthuruthy,0.31619,0.4792,0.17418,0.03043,0.4792,UDF
Vaikom,0.4792,0.31619,0.17418,0.03043,0.47920,LDF
Ettumanoor,0.4792,0.31619,0.17418,0.03043,0.47920,LDF
Kottayam,0.31619,0.4792,0.17418,0.03043,0.4792,UDF
Puthuppally,0.30947,0.44147,0.2341,0.01496,0.44147,UDF
Changanassery,0.44147,0.30947,0.2341,0.01496,0.44147,LDF
Kanjirappally,0.44147,0.30947,0.2341,0.01496,0.44147,LDF
Poonjar,0.30947,0.44147,0.2341,0.01496,0.44147,UDF
Aroor,0.39347,0.36047,0.2311,0.01496,0.39347,LDF
Cherthala,0.39347,0.36047,0.2311,0.01496,0.39347,LDF
Alappuzha,0.39347,0.36047,0.2311,0.01496,0.39347,LDF
Ambalappuzha,0.41549,0.41503,0.145,0.02448,0.41549,LDF
Kuttanad,0.41549,0.41503,0.145,0.02448,0.41549,LDF
Haripad,0.41503,0.41549,0.145,0.02448,0.41549,UDF
Kayamkulam,0.41549,0.41503,0.145,0.02448,0.41549,LDF
Mavelikkara,0.41549,0.41503,0.145,0.02448,0.41549,LDF
Chengannur,0.41549,0.41503,0.145,0.02448,0.41549,LDF
Thiruvalla,0.44503,0.37649,0.154,0.02448,0.44503,LDF
Ranni,0.43586,0.32553,0.22085,0.01776,0.43586,LDF
Aranmula,0.43586,0.32553,0.22085,0.01776,0.43586,LDF
Konni,0.43586,0.32553,0.22085,0.01776,0.43586,LDF
Adoor,0.32553,0.43586,0.22085,0.01776,0.43586,UDF
Karunagapally,0.37353,0.39386,0.21485,0.01776,0.39386,UDF
Chavara,0.45315,0.36821,0.16074,0.0179,0.45315,LDF
Kunnathur,0.45315,0.36821,0.16074,0.0179,0.45315,LDF
Kottarakkara,0.45315,0.36821,0.16074,0.0179,0.45315,LDF
Pathanapuram,0.45315,0.36821,0.16074,0.0179,0.45315,LDF
Punalur,0.45315,0.36821,0.16074,0.0179,0.45315,LDF
Chadayamangalam,0.45315,0.36821,0.16074,0.0179,0.45315,LDF
Kundara,0.36821,0.45315,0.16074,0.0179,0.45315,UDF
Kollam,0.37654,0.34703,0.25755,0.01888,0.37654,LDF
Eravipuram,0.37654,0.34703,0.25755,0.01888,0.37654,LDF
Chathannoor,0.37654,0.34703,0.25755,0.01888,0.37654,LDF
Varkala,0.35854,0.33803,0.28155,0.02188,0.35854,LDF
Attingal,0.35854,0.33803,0.28155,0.02188,0.35854,LDF
Chirayinkeezhu,0.35854,0.33803,0.28155,0.02188,0.35854,LDF
Nedumangad,0.35854,0.33803,0.28155,0.02188,0.35854,LDF
Vamanapuram,0.36533,0.30835,0.31179,0.01453,0.36533,LDF
Kazhakoottam,0.36533,0.30835,0.31179,0.01453,0.36533,LDF
Vattiyoorkavu,0.36533,0.30835,0.31179,0.01453,0.36533,LDF
Thiruvananthapuram,0.36533,0.30835,0.31179,0.01453,0.36533,LDF
Nemom,0.36533,0.30835,0.31179,0.01453,0.36533,LDF
Aruvikkara,0.36533,0.30835,0.31179,0.01453,0.36533,LDF
Parassala,0.36533,0.30835,0.31179,0.01453,0.36533,LDF
Kattakada,0.36533,0.30835,0.31179,0.01453,0.36533,LDF
Kovalam,0.30835,0.36533,0.31179,0.01453,0.36533,UDF
Neyyattinkara,0.36533,0.30835,0.31179,0.01453,0.36533,LDF
