year,election_type,ac_no,ac_name,district,ls_constituency,ls_winner_party,ls_winner_alliance,ls_winner_vote_share_pct,ls_winner_margin_pct,is_real_result,source
2014,lok_sabha,1,Manjeshwaram,Kasaragod,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,2,Kasaragod,Kasaragod,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,3,Udma,Kasaragod,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,4,Kanhangad,Kasaragod,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,5,Thrikkaripur,Kasaragod,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,6,Payyannur,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,7,Kalliasseri,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,8,Thalassery,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,9,Dharmadom,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,10,Thaliparamba,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,11,Irikkur,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,12,Azhikode,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,13,Kannur,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,14,Kuthuparamba,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,15,Mattannur,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,16,Peravoor,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,17,Mananthavady,Wayanad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,18,Sulthan Bathery,Wayanad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,19,Kalpetta,Wayanad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,20,Vatakara,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,21,Kuttiady,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,22,Nadapuram,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,23,Koyilandy,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,24,Perambra,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,25,Balusseri,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,26,Elathur,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,27,Kozhikode North,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,28,Kozhikode South,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,29,Beypore,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,30,Kunnamangalam,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,31,Koduvally,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,32,Thiruvambadi,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,33,Kondotty,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,34,Eranad,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,35,Nilambur,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,36,Wandoor,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,37,Manjeri,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,38,Perinthalmanna,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,39,Mankada,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,40,Malappuram,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,41,Vengara,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,42,Vallikunnu,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,43,Tirurangadi,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,44,Tanur,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,45,Tirur,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,46,Kottakkal,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,47,Thavanur,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,48,Ponnani,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,49,Thrithala,Palakkad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,50,Pattambi,Palakkad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,51,Shornur,Palakkad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,52,Ottappalam,Palakkad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,53,Kongad,Palakkad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,54,Mannarkkad,Palakkad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,55,Malampuzha,Palakkad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,56,Palakkad,Palakkad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,57,Tarur,Palakkad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,58,Chittur,Palakkad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,59,Nenmara,Palakkad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,60,Alathur,Palakkad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,61,Chelakkara,Thrissur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,62,Kunnamkulam,Thrissur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,63,Guruvayoor,Thrissur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,64,Manalur,Thrissur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,65,Wadakkanchery,Thrissur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,66,Ollur,Thrissur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,67,Thrissur,Thrissur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,68,Nattika,Thrissur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,69,Kaipamangalam,Thrissur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,70,Irinjalakuda,Thrissur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,71,Puthukkad,Thrissur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,72,Chalakudy,Thrissur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,73,Kodungallur,Thrissur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,74,Perumbavoor,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,75,Angamaly,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,76,Aluva,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,77,Kalamassery,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,78,Paravur,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,79,Vypin,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,80,Kochi,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,81,Thripunithura,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,82,Ernakulam,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,83,Thrikkakara,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,84,Kunnathunad,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,85,Piravom,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,86,Muvattupuzha,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,87,Kothamangalam,Ernakulam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,88,Devikulam,Idukki,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,89,Udumbanchola,Idukki,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,90,Thodupuzha,Idukki,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,91,Idukki,Idukki,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,92,Peerumede,Idukki,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,93,Pala,Kottayam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,94,Kaduthuruthy,Kottayam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,95,Vaikom,Kottayam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,96,Ettumanoor,Kottayam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,97,Kottayam,Kottayam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,98,Puthuppally,Kottayam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,99,Changanassery,Kottayam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,100,Kanjirappally,Kottayam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,101,Poonjar,Kottayam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,102,Aroor,Alappuzha,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,103,Cherthala,Alappuzha,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,104,Alappuzha,Alappuzha,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,105,Ambalappuzha,Alappuzha,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,106,Kuttanad,Alappuzha,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,107,Haripad,Alappuzha,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,108,Kayamkulam,Alappuzha,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,109,Mavelikkara,Alappuzha,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,110,Chengannur,Alappuzha,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,111,Thiruvalla,Pathanamthitta,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,112,Ranni,Pathanamthitta,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,113,Aranmula,Pathanamthitta,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,114,Konni,Pathanamthitta,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,115,Adoor,Pathanamthitta,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,116,Karunagapally,Kollam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,117,Chavara,Kollam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,118,Kunnathur,Kollam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,119,Kottarakkara,Kollam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,120,Pathanapuram,Kollam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,121,Punalur,Kollam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,122,Chadayamangalam,Kollam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,123,Kundara,Kollam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,124,Kollam,Kollam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,125,Eravipuram,Kollam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,126,Chathannoor,Kollam,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,127,Varkala,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,128,Attingal,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,129,Chirayinkeezhu,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,130,Nedumangad,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,131,Vamanapuram,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,132,Kazhakoottam,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,133,Vattiyoorkavu,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,134,Thiruvananthapuram,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,135,Nemom,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,136,Aruvikkara,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,137,Parassala,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,138,Kattakada,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,139,Kovalam,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,140,Neyyattinkara,Thiruvananthapuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
